0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,ABOF,avg,mod_avg,mod_ABOF,label
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,398.6320347080832,60.414220527933104,0.4142205279331037,8.63203470808321,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,358.6104958769482,74.24706447163469,14.247064471634687,13.610495876948221,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,398.6320347080832,60.414220527933104,0.4142205279331037,8.63203470808321,0
-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,341.14828830744125,33.768447101101295,3.7684471011012945,11.148288307441248,0
1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,328.33708050651745,58.34602787506254,13.34602787506254,13.337080506517452,0
1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,380.2104379690707,67.59666213269189,7.59666213269189,5.2104379690707106,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,320.125670378776,53.635987869596015,8.635987869596015,5.125670378776022,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,267.33260181501953,52.774048509352966,7.774048509352966,12.33260181501953,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,406.74967061525626,65.45695110559981,5.4569511055998134,1.7496706152562638,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,398.6320347080832,60.414220527933104,0.4142205279331037,8.63203470808321,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,320.125670378776,53.635987869596015,8.635987869596015,5.125670378776022,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,406.74967061525626,65.45695110559981,5.4569511055998134,1.7496706152562638,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,358.6104958769482,74.24706447163469,14.247064471634687,13.610495876948221,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,358.6104958769482,74.24706447163469,14.247064471634687,13.610495876948221,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,358.6104958769482,74.24706447163469,14.247064471634687,13.610495876948221,0
1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,297.4806744760713,30.968399966063043,0.9683999660630427,12.480674476071272,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,255.5389628597588,52.638414126173764,7.638414126173764,0.5389628597588114,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,398.6320347080832,60.414220527933104,0.4142205279331037,8.63203470808321,0
1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,320.125670378776,53.635987869596015,8.635987869596015,5.125670378776022,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,406.74967061525626,65.45695110559981,5.4569511055998134,1.7496706152562638,0
1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,380.2104379690707,67.59666213269189,7.59666213269189,5.2104379690707106,0
1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,358.6104958769482,74.24706447163469,14.247064471634687,13.610495876948221,0
